ئاباد	آباد
ئابادان	آبادان
ئابادی	آبادی
ئابدا	ابدا
ئابووی	ابوی
ئابگوون	آبگون
ئابی	ابی
ئاتێن	آتن
ئاخ	آخ
ئاخر	آخر
ئاد	اد
ئاداب	آداب
ئادابێ	آداب
ئاداری	اداری
ئادام	آدام
ئادامز	آدامز
ئادریان	آدریان
ئادۆلف	آدولف
ئادێل	ادل
ئادەم	آدم
ئادەمی	آدمی
ئارا	آرا
ئارارات	آرارات
ئاراستە	آراست
ئارام	آرام
ئارامی	آرامی
ئارامە	آرام
ئاران	آران
ئارایش	آرایش
ئارت	آرت
ئارتور	آرتور
ئارد	آرد
ئاردی	آردی
ئارسن	آرسن
ئارش	آرش
ئارمان	آرمان
ئارنۆلد	آرنولد
ئارنۆڵد	آرنولد
ئارون	آرون
ئارۆن	آرون
ئاری	آری
ئاریا	آریا
ئاریان	آریان
ئاریشێ	اریش
ئارین	آرین
ئاریێل	آریل
ئاریێن	آرین
ئارێز	ارز
ئارەزوو	آرزو
ئارەش	آرش
ئازاد	آزاد
ئازادی	آزادی
ئازادیێ	آزادی
ئازادە	آزاد
ئازار	آزار
ئازاری	آزاری
ئازارە	آزار
ئازەر	آذر
ئازەری	آذری
ئاس	آس
ئاسا	آسا
ئاسان	آسان
ئاسانتر	آسانتر
ئاسانە	آسان
ئاسایش	آسایش
ئاسایشی	آسایشی
ئاسایشێ	آسایش
ئاسایشە	آسایش
ئاسایی	آسایی
ئاساییە	آسایی
ئاست	است
ئاستێ	است
ئاستە	است
ئاسف	آسف
ئاسمان	آسمان
ئاسمانی	آسمانی
ئاسنی	اثنی
ئاسودە	آسود
ئاسوودە	آسود
ئاسک	اسک
ئاسکی	اسکی
ئاسۆشیتد	آسوشیتد
ئاسی	اسی
ئاسیا	آسیا
ئاسیایی	آسیایی
ئاسەف	آسف
ئاشتی	آشتی
ئاشتیان	آشتیان
ئاشتیانی	آشتیانی
ئاشتیێ	آشتی
ئاشلی	اشلی
ئاشنا	آشنا
ئاشنایی	آشنایی
ئاشوب	آشوب
ئاشور	آشور
ئاشوری	آشوری
ئاشووب	آشوب
ئاشوور	آشور
ئاشووری	آشوری
ئاشۆری	آشوری
ئاغا	آغا
ئاف	آف
ئاقا	آقا
ئاقایی	آقایی
ئال	آل
ئالا	آلا
ئالاسکا	آلاسکا
ئالان	الآن
ئالایی	آلایی
ئالبرت	آلبرت
ئالبێرت	آلبرت
ئالتمەن	آلتمن
ئالتۆن	التون
ئالفرێد	آلفرد
ئالن	آلن
ئالی	آلی
ئالیس	آلیس
ئالیک	الیک
ئالیێ	آلی
ئالیەکێ	الیک
ئالێ	آل
ئالێن	آلن
ئالێکس	آلکس
ئاماد	آماد
ئامادە	آماد
ئامادەگی	آمادگی
ئامار	آمار
ئامارێ	آمار
ئامارە	آمار
ئامازۆن	آمازون
ئامر	آمر
ئامراز	امراض
ئامریکا	آمریکا
ئامفی	آمفی
ئامون	آمون
ئامیری	امیری
ئامیرێ	امیر
ئامێدی	آمدی
ئامێدیێ	آمدی
ئامێر	آمر
ئامێرێ	آمر
ئامێرە	آمر
ئامەد	آمد
ئامەدی	آمدی
ئامەدێ	آمد
ئامەریکا	آمریکا
ئان	آن
ئانا	آنا
ئانت	آنت
ئانتوان	آنتوان
ئانتۆنی	آنتونی
ئانجلێس	آنجلس
ئاند	آند
ئاندرسۆن	آندرسون
ئاندری	آندری
ئاندریاس	آندریاس
ئاندرێ	اندر
ئاندرێس	آندرس
ئاندی	اندی
ئانکارا	آنکارا
ئانگ	انگ
ئانی	آنی
ئانیتا	آنیتا
ئاهوو	آهو
ئاهێن	آهن
ئاهەنگ	آهنگ
ئاهەنگی	آهنگی
ئاهەنگێ	آهنگ
ئاهەنگە	آهنگ
ئاهەنگەی	آهنگی
ئاو	او
ئاوا	آوا
ئاواتار	آواتار
ئاوارە	آوار
ئاواز	آواز
ئاوایی	آوایی
ئاور	آور
ئاون	اون
ئاوو	او
ئاوڕ	آور
ئاوڕی	آوری
ئاوێزان	اوزان
ئاوێنە	اون
ئاوە	او
ئاوەوە	او
ئاپریل	اپریل
ئاڕنۆڵد	آرنولد
ئاژانس	آژانس
ئاژانسە	آژانس
ئاڤ	او
ئاڤا	آوا
